district,y,m,rainfall
Adan Yabaal,2013,1,2.93
Afgooye,2013,1,1.53
Afmadow,2013,1,2.26
Baardheere,2013,1,1.95
Badhaadhe,2013,1,3.85
Baki,2013,1,6.18
Balcad,2013,1,1.77
Banadir,2013,1,0.73
Bandarbeyla,2013,1,1.17
Baraawe,2013,1,0.49
Baydhaba,2013,1,1.72
Belet Weyne,2013,1,1.02
Belet Xaawo,2013,1,1.63
Berbera,2013,1,4.42
Borama,2013,1,5.15
Bossaso,2013,1,0.44
Bu'aale,2013,1,1.24
Bulo Burto,2013,1,2.16
Burco,2013,1,2.2
Burtinle,2013,1,1.13
Buuhoodle,2013,1,0.98
Buur Hakaba,2013,1,1.03
Cabudwaaq,2013,1,1.2
Cadaado,2013,1,2.14
Cadale,2013,1,2.32
Caluula,2013,1,1.61
Caynabo,2013,1,2.15
Ceel Afweyn,2013,1,3.21
Ceel Barde,2013,1,0.73
Ceel Buur,2013,1,3.58
Ceel Dheer,2013,1,3.79
Ceel Waaq,2013,1,2.14
Ceerigaabo,2013,1,2.83
Dhuusamarreeb,2013,1,2.4
Diinsoor,2013,1,1.15
Doolow,2013,1,1.16
Eyl,2013,1,2.41
Gaalkacyo,2013,1,0.51
Galdogob,2013,1,0.27
Garbahaarey,2013,1,2
Garoowe,2013,1,1.74
Gebiley,2013,1,2.13
Hargeysa,2013,1,2.41
Hobyo,2013,1,0.93
Iskushuban,2013,1,0.58
Jalalaqsi,2013,1,2.71
Jamaame,2013,1,1.19
Jariiban,2013,1,1.01
Jilib,2013,1,1.43
Jowhar,2013,1,2.31
Kismaayo,2013,1,2
Kurtunwaarey,2013,1,0.92
Laas Caanood,2013,1,1.05
Laasqoray,2013,1,0.35
Lughaye,2013,1,7.94
Luuq,2013,1,1.02
Marka,2013,1,1.13
Owdweyne,2013,1,2.84
Qandala,2013,1,0.53
Qansax Dheere,2013,1,1.61
Qardho,2013,1,0.2
Qoryooley,2013,1,1.17
Rab Dhuure,2013,1,0.4
Saakow,2013,1,1.04
Sablaale,2013,1,0.89
Sheikh,2013,1,3.19
Taleex,2013,1,0.66
Tayeeglow,2013,1,0.69
Waajid,2013,1,0.68
Wanla Weyn,2013,1,1.86
Xarardheere,2013,1,3.25
Xudun,2013,1,1.52
Xudur,2013,1,0.47
Zeylac,2013,1,8.34
Adan Yabaal,2013,2,1.21
Afgooye,2013,2,0.88
Afmadow,2013,2,4.96
Baardheere,2013,2,2.85
Badhaadhe,2013,2,2.85
Baki,2013,2,2.96
Balcad,2013,2,1.02
Banadir,2013,2,1.21
Bandarbeyla,2013,2,0.35
Baraawe,2013,2,0.42
Baydhaba,2013,2,1.06
Belet Weyne,2013,2,0.84
Belet Xaawo,2013,2,1.97
Berbera,2013,2,1.04
Borama,2013,2,4.23
Bossaso,2013,2,0.82
Bu'aale,2013,2,1.99
Bulo Burto,2013,2,0.96
Burco,2013,2,2.58
Burtinle,2013,2,0.69
Buuhoodle,2013,2,1.34
Buur Hakaba,2013,2,1.19
Cabudwaaq,2013,2,1.91
Cadaado,2013,2,0.69
Cadale,2013,2,1.4
Caluula,2013,2,0.32
Caynabo,2013,2,1.48
Ceel Afweyn,2013,2,1.83
Ceel Barde,2013,2,1.01
Ceel Buur,2013,2,1.09
Ceel Dheer,2013,2,1.23
Ceel Waaq,2013,2,2.54
Ceerigaabo,2013,2,2.31
Dhuusamarreeb,2013,2,0.97
Diinsoor,2013,2,1.45
Doolow,2013,2,1.58
Eyl,2013,2,0.29
Gaalkacyo,2013,2,0.52
Galdogob,2013,2,0.5
Garbahaarey,2013,2,1.29
Garoowe,2013,2,0.46
Gebiley,2013,2,2.72
Hargeysa,2013,2,3.13
Hobyo,2013,2,0.71
Iskushuban,2013,2,0.26
Jalalaqsi,2013,2,1.4
Jamaame,2013,2,2.05
Jariiban,2013,2,0.55
Jilib,2013,2,1.87
Jowhar,2013,2,1.5
Kismaayo,2013,2,2.56
Kurtunwaarey,2013,2,0.74
Laas Caanood,2013,2,0.64
Laasqoray,2013,2,1.22
Lughaye,2013,2,3.35
Luuq,2013,2,0.89
Marka,2013,2,0.3
Owdweyne,2013,2,3.9
Qandala,2013,2,0.85
Qansax Dheere,2013,2,1.43
Qardho,2013,2,0.61
Qoryooley,2013,2,0.59
Rab Dhuure,2013,2,0.81
Saakow,2013,2,2.43
Sablaale,2013,2,0.95
Sheikh,2013,2,4.06
Taleex,2013,2,0.74
Tayeeglow,2013,2,0.57
Waajid,2013,2,0.86
Wanla Weyn,2013,2,1.31
Xarardheere,2013,2,1.73
Xudun,2013,2,0.53
Xudur,2013,2,0.54
Zeylac,2013,2,4.83
Adan Yabaal,2013,3,49.96
Afgooye,2013,3,24.81
Afmadow,2013,3,73.17
Baardheere,2013,3,108
Badhaadhe,2013,3,64.16
Baki,2013,3,21.86
Balcad,2013,3,34.5
Banadir,2013,3,17.36
Bandarbeyla,2013,3,6.59
Baraawe,2013,3,15.22
Baydhaba,2013,3,104
Belet Weyne,2013,3,39.04
Belet Xaawo,2013,3,98.9
Berbera,2013,3,13.57
Borama,2013,3,47.04
Bossaso,2013,3,9.81
Bu'aale,2013,3,56.05
Bulo Burto,2013,3,39.74
Burco,2013,3,22.6
Burtinle,2013,3,9.83
Buuhoodle,2013,3,18.59
Buur Hakaba,2013,3,53.9
Cabudwaaq,2013,3,22.66
Cadaado,2013,3,15.12
Cadale,2013,3,43.56
Caluula,2013,3,3.3
Caynabo,2013,3,11.08
Ceel Afweyn,2013,3,12.64
Ceel Barde,2013,3,75.41
Ceel Buur,2013,3,33.79
Ceel Dheer,2013,3,40.36
Ceel Waaq,2013,3,119
Ceerigaabo,2013,3,31.06
Dhuusamarreeb,2013,3,28.54
Diinsoor,2013,3,81
Doolow,2013,3,62.82
Eyl,2013,3,11.15
Gaalkacyo,2013,3,10.25
Galdogob,2013,3,14.73
Garbahaarey,2013,3,89.72
Garoowe,2013,3,8.7
Gebiley,2013,3,36.69
Hargeysa,2013,3,34.07
Hobyo,2013,3,21.49
Iskushuban,2013,3,6.73
Jalalaqsi,2013,3,40.55
Jamaame,2013,3,21.96
Jariiban,2013,3,16.55
Jilib,2013,3,29.77
Jowhar,2013,3,46.84
Kismaayo,2013,3,43.69
Kurtunwaarey,2013,3,31.33
Laas Caanood,2013,3,8.46
Laasqoray,2013,3,20.52
Lughaye,2013,3,15.6
Luuq,2013,3,86.97
Marka,2013,3,15.16
Owdweyne,2013,3,31.23
Qandala,2013,3,13.11
Qansax Dheere,2013,3,99.16
Qardho,2013,3,14.79
Qoryooley,2013,3,25.61
Rab Dhuure,2013,3,99.91
Saakow,2013,3,87.98
Sablaale,2013,3,35.41
Sheikh,2013,3,35.06
